,index,score
0,"(1, 0, 0)",1
1,"(1, 0, 1)",3
2,"(1, 1, 0)",2
3,"(1, 1, 1)",3
4,"(1, 2, 0)",3
5,"(1, 2, 1)",4
6,"(1, 3, 0)",5
7,"(1, 3, 1)",5
8,"(1, 4, 0)",6
9,"(1, 4, 1)",6
10,"(1, 5, 0)",7
11,"(1, 5, 1)",7
12,"(2, 0, 0)",2
13,"(2, 0, 1)",3
14,"(2, 1, 0)",2
15,"(2, 1, 1)",3
16,"(2, 2, 0)",4
17,"(2, 2, 1)",5
18,"(2, 3, 0)",5
19,"(2, 3, 1)",5
20,"(2, 4, 0)",6
21,"(2, 4, 1)",7
22,"(2, 5, 0)",7
23,"(2, 5, 1)",7
24,"(3, 0, 0)",3
25,"(3, 0, 1)",3
26,"(3, 1, 0)",3
27,"(3, 1, 1)",4
28,"(3, 2, 0)",4
29,"(3, 2, 1)",5
30,"(3, 3, 0)",5
31,"(3, 3, 1)",6
32,"(3, 4, 0)",6
33,"(3, 4, 1)",7
34,"(3, 5, 0)",7
35,"(3, 5, 1)",7
36,"(4, 0, 0)",5
37,"(4, 0, 1)",5
38,"(4, 1, 0)",5
39,"(4, 1, 1)",6
40,"(4, 2, 0)",6
41,"(4, 2, 1)",7
42,"(4, 3, 0)",7
43,"(4, 3, 1)",7
44,"(4, 4, 0)",7
45,"(4, 4, 1)",7
46,"(4, 5, 0)",8
47,"(4, 5, 1)",8
48,"(5, 0, 0)",7
49,"(5, 0, 1)",7
50,"(5, 1, 0)",7
51,"(5, 1, 1)",7
52,"(5, 2, 0)",7
53,"(5, 2, 1)",8
54,"(5, 3, 0)",8
55,"(5, 3, 1)",8
56,"(5, 4, 0)",8
57,"(5, 4, 1)",8
58,"(5, 5, 0)",8
59,"(5, 5, 1)",8
60,"(6, 0, 0)",8
61,"(6, 0, 1)",8
62,"(6, 1, 0)",8
63,"(6, 1, 1)",8
64,"(6, 2, 0)",8
65,"(6, 2, 1)",8
66,"(6, 3, 0)",8
67,"(6, 3, 1)",9
68,"(6, 4, 0)",9
69,"(6, 4, 1)",9
70,"(6, 5, 0)",9
71,"(6, 5, 1)",9
